scenario,region,variables,unit,2020,2030,2050
S1,FR,Production|Hydrogen|Total from gas without co-produced from fossil fuels,TWh H2/year,9.6,13.1,10.6
S1,FR,Production|Hydrogen|Total from electrolysis,TWh H2/year,0,4,43.9
S1,FR,Production|Hydrogen|Share electrolysis over gas + electrolysis,%,0,23.39181287,80.55045872
S1,FR,Production|Hydrogen|Fossil fuel refineries|Empty,TWh H2/year,0,0,1
S1,FR,Production|Natural gas|Anaerobic digestion CIVE|Biogas,Nm3/year,1.50E+08,5.26E+08,5.22E+08
S1,FR,Production|Natural gas|Anaerobic digestion dedicated crops|Biogas,Nm3/year,1.03E+08,2.17E+07,0.00E+00
S1,FR,Production|Natural gas|Anaerobic digestion grass|Biogas,Nm3/year,1.35E+07,7.76E+07,4.91E+07
S1,FR,Production|Natural gas|Anaerobic digestion biowaste|Biogas,Nm3/year,1.32E+08,0.00E+00,0.00E+00
S1,FR,Production|Natural gas|Anaerobic digestion sewage sludge|Biogas,Nm3/year,0.00E+00,2.43E+07,2.03E+07
S1,FR,Production|Natural gas|Anaerobic digestion agricultural residues|Biogas,Nm3/year,3.76E+07,2.07E+08,2.74E+08
S1,FR,Production|Natural gas|Anaerobic digestion industrial wastewater|Biogas,Nm3/year,1.95E+08,7.53E+06,1.31E+06
S1,FR,Production|Natural gas|Anaerobic digestion animal manure|Biogas,Nm3/year,4.50E+08,8.36E+07,4.73E+07
S1,FR,Production|Natural gas|Pyrogasification|Renewable,Nm3/year,0,0,0
S1,FR,Production|Natural gas|Pyrogasification|Fossil,Nm3/year,0,0,0
S1,FR,Production|Natural gas|Pyrogasification with CCS|Renewable,Nm3/year,0,0,0
S1,FR,Production|Natural gas|Power to gas,Nm3/year,0,271508379.9,3656312849
S1,FR,Efficiency|Natural gas|Power to gas|Methanation,%,77,83,85
S1,FR,Production|Natural gas|Imports|Fossil,Nm3/year,38430000000,21237000000,1807000000
S1,FR,Production|Natural gas|Imports|Renewable,Nm3/year,0,0,0
S1,FR,Production|Natural gas|Anaerobic digestion CIVE|Biogas to biomethane,Nm3/year,5.32E+07,2.12E+09,5.38E+09
S1,FR,Production|Natural gas|Anaerobic digestion dedicated crops|Biogas to biomethane,Nm3/year,1.61E+07,8.73E+07,0.00E+00
S1,FR,Production|Natural gas|Anaerobic digestion grass|Biogas to biomethane,Nm3/year,3.60E+06,3.11E+08,5.39E+08
S1,FR,Production|Natural gas|Anaerobic digestion biowaste|Biogas to biomethane,Nm3/year,1.32E+07,9.72E+07,1.53E+08
S1,FR,Production|Natural gas|Anaerobic digestion sewage sludge|Biogas to biomethane,Nm3/year,1.66E+07,7.89E+07,7.86E+07
S1,FR,Production|Natural gas|Anaerobic digestion agricultural residues|Biogas to biomethane,Nm3/year,2.42E+07,8.29E+08,2.99E+09
